,ID,Source,Severity,Start_Time,Delay,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Start_year,End_year,Start_month,End_month,Start_day,End_day,Start_hour,End_hour,Start_time,End_time,Start_weekday,End_weekday,IsWeekend
count,7721629,7721629,7721629.0,7721629,7721629.0,7721629,7721629.0,7721629.0,4318929.0,4318929.0,7721629.0,7721624,7710774,7721376,7721629,7721629,7719716,7721629,7713823,7699001,7601492,7557934.0,5722956.0,7547659.0,7581053.0,7544671.0,7546640,7150651.0,5518358.0,7548309,7721629,7721629,7721629,7721629,7721629,7721629,7721629,7721629,7721629,7721629,7721629,7721629,7721629,7698524,7698524,7698524,7698524,7721629.0,7721629.0,7721629,7721629,7721629,7721629,7721629.0,7721629.0,7721629,7721629,7721629.0,7721629.0,7721629.0
unique,7721629,3,,,,,,,,,,3759288,336213,13675,1871,49,824833,1,4,2045,941010,,,,,,24,,,144,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,,12,12,7,7,,,86400,86400,,,
top,A-1,Source1,,,,,,,,,,A crash has occurred causing no to minimum delays. Use caution.,I-95 N,Miami,Los Angeles,CA,91761,US,US/Eastern,KCQT,2022-03-13 01:53:00,,,,,,CALM,,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,,,December,December,Friday,Friday,,,15:45:00,17:45:00,,,
freq,1,4318929,,,,,,,,,,9559,78422,186835,526641,1740759,11246,7721629,3579106,118295,1304,,,,,,960558,,,2558089,7625339,7718116,6848156,7685052,7151179,7702089,7654683,7721380,7519802,7507332,7714033,6578141,7721629,5331753,5692631,6072906,6374092,,,844515,846747,1365455,1356867,,,2214,4243,,,
mean,,,2.2124148932822334,2020-06-03 20:58:46.313698816,133.88796146512607,2020-06-03 23:13:06.226860032,36.203767440409216,-94.70237157000075,36.26655627808203,-95.72691424030073,0.5612115123714224,,,,,,,,,,,61.66566819715544,58.25173943325792,64.82246534985218,29.53889749616579,9.090746109406208,,7.6854793360772335,0.008404144856132929,,,,,,,,,,,,,,,,,,,2019.9074157797531,2019.9074157797531,,,,,12.326185964127518,13.03809027861867,,,2.593880643579224,2.6073990345819515,0.15925655065789873
min,,,1.0,2016-02-08 00:37:08,1.0,2016-02-08 06:37:08,24.5548,-124.623833,24.566013,-124.545748,0.0,,,,,,,,,,,-89.0,-89.0,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,2016.0,2016.0,,,,,0.0,0.0,,,0.0,0.0,0.0
25%,,,2.0,2018-11-22 08:08:32,31.0,2018-11-22 09:47:35,33.407352,-117.22131,33.462719,-117.757743,0.0,,,,,,,,,,,49.0,43.0,48.0,29.37,10.0,,4.6,0.0,,,,,,,,,,,,,,,,,,,2018.0,2018.0,,,,,8.0,9.0,,,1.0,1.0,0.0
50%,,,2.0,2020-11-11 00:40:00,74.0,2020-11-11 03:47:23,35.826383,-87.75287,36.192417,-88.01075,0.029,,,,,,,,,,,64.0,62.0,67.0,29.86,10.0,,7.0,0.0,,,,,,,,,,,,,,,,,,,2020.0,2020.0,,,,,13.0,14.0,,,3.0,3.0,0.0
75%,,,2.0,2022-01-20 08:20:00,125.0,2022-01-20 10:04:59,40.085892,-80.35279,40.182881,-80.245222,0.463,,,,,,,,,,,76.0,75.0,84.0,30.03,10.0,,10.4,0.0,,,,,,,,,,,,,,,,,,,2022.0,2022.0,,,,,17.0,18.0,,,4.0,4.0,0.0
max,,,4.0,2023-03-31 23:30:00,523320.0,2023-03-31 23:59:00,49.002201,-67.113167,49.075,-67.10924200000001,441.75,,,,,,,,,,,207.0,207.0,100.0,58.63,140.0,,1087.0,36.47,,,,,,,,,,,,,,,,,,,2023.0,2023.0,,,,,23.0,23.0,,,6.0,6.0,1.0
std,,,0.4874621792500462,,1777.7883530398547,,5.075632600076894,17.3954435136558,5.2723717191202715,18.11529150337146,1.7760571196910662,,,,,,,,,,,19.014801342578224,22.39299896717204,22.82159702855169,1.0061033426581445,2.6882322475152227,,5.424589341259389,0.1102681346942235,,,,,,,,,,,,,,,,,,,1.915139483289837,1.915139483289837,,,,,5.462889283613975,5.8198155023271525,,,1.8060628241401253,1.8093595178685884,0.36591518015868174
